,0,1,2,3,4,5
0,Razón Social,Dirección,Número de Estación,Fecha de Verificación,Instrumentos Verificados,Instrumentos Movilizados
1,"SERVICIO INDEPENDENCIA, S.A. DE C.V.",", COLONIA , CP ",10036,2016-09-26,30,0
2,"UNIDAD DE GASOLINERAS, S.A. DE C.V.",", COLONIA , CP ",10143,2016-09-26,32,0
3,UNIDAD DE GASOLINERAS S.A DE C.V,", COLONIA , CP ",12342,2016-09-26,24,0
4,"UNIDAD DE GASOLINERAS, S.A. DE C.V.",", COLONIA , CP ",7687,2016-09-24,24,0
5,"SERVICIO INDEPENDENCIA, S.A. DE C.V.",", COLONIA , CP ",10993,2016-09-24,34,0
6,"SUPER SERVICIO BONATERRA, S.A. DE C.V.",", COLONIA , CP ",12241,2016-09-24,38,0
7,"UNION PANAMERICANA DE SERVICIOS, S.A. DE C.V.",", COLONIA , CP ",5601,2016-09-23,20,0
8,"UNIDAD DE GASOLINERAS, S.A. DE C.V.",", COLONIA , CP ",7878,2016-09-23,16,0
9,"SERVICIO INDEPENDENCIA, S.A. DE C.V.",", COLONIA , CP ",7896,2016-09-23,14,0
10,"SERVICIO LOMAS AGUASCALIENTES, S.A. DE C.V.",", COLONIA , CP ",11162,2016-09-23,20,0
11,"SERVICIO GUTMART, S.A. DE C.V.","CARRETERA LEON-AGUASCALIENTES KM. 117-540 , AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",10097,2016-09-22,20,3
12,"RED SIGLO XXI, S.A. DE C.V.","BLV.  LIC. MIGUEL DE LA MADRID HURTADO NO. 2592, COLONIA MISION DEL CAMPANARIO, CP 20118",10645,2016-09-22,28,3
13,"SUPERSERVICIO TERECAR, S.A. DE C.V.","BLVD. SIGLO XXI NO. 120, COLONIA MUNICIPIO LIBRE, CP 20199",10875,2016-09-22,18,2
14,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV. DE LA CONVENCION DE 1914 NTE. # 406, COLONIA MODELO, CP 20140",4940,2016-09-21,24,1
15,"SERVICIO INDEPENDENCIA, SA DE CV","AV. SIGLO XXI NO 700, COLONIA TROJES DE ALONSO, CP 20900",6181,2016-09-21,20,0
16,"SERVICIO CARROBS, S.A. DE C.V.","AV. SIGLO XXI NO 3805, COLONIA VICENTE GUERRERO, CP 20070",7976,2016-09-21,0,0
17,"MARA ESTACION DE SERVICIOS, S.A. DE C.V.","BOULEVARD AGUASCALIENTES 2074, COLONIA LOMAS DE SANTA ANITA, CP 20160",8511,2016-09-21,16,1
18,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V.","AV. CONVENCION DE 1914, COLONIA JARDINES DE LA CRUZ, CP 20250",2468,2016-09-20,40,0
19,PABLO ALEJANDRO PATRON CORDERO,"CALLE 21 DE MARZO NO. 301, COLONIA S/C, CP 20427",3045,2016-09-20,4,1
20,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV AGUASCALIENTES N 3402, COLONIA PRADOS DEL SUR, CP 20280",4938,2016-09-20,24,3
21,"TERCER ANILLO, S.A. DE C.V.","AVENIDA AGUASCALIENTES NO 1399, COLONIA MODERNO, CP 20060",11508,2016-07-16,8,1
22,"RED SIGLO XXI, S.A. DE C.V.","BLVD. SIGLO XXI, 5202, COLONIA HACIENDAS DE AGUASCALIENTES, CP 20133",7745,2016-07-15,24,0
23,"TORO GRUPO GASOLINERO, S.A. DE C.V.","CARRETERA PANAMERICANA – AGUASCALIENTES ZACATECAS KM. 34.5 COL. EL SALITRILLO (LAS NORIAS), RINCON DE ROMOS, AGS., COLONIA , CP ",9826,2016-07-15,12,0
24,"MULTISERVICIOS ESPECIALIZADOS MORITA,S.A.DE C.V.","CARRETERA LA PROVIDENCIA – LUIS MOYA KM. 14+33, GAMEZ OROZCO, TEPEZALA, AGUASCALIENTES., COLONIA , CP ",10080,2016-07-15,16,0
25,OPTIMUS ESTACION DE SERVICIO S. A. DE C. V.,"BLVD. SIGLO XXI ESQ. PROLONGACION CONSTITUCION, COLONIA LIC. MANUEL GOMEZ MORIN, CP 20200",10370,2016-07-15,12,0
26,"CORPOGAS HIDROCALIDO, S.A. DE C.V.","BLV. A ZACATECAS NTE. KM. 4.6, COLONIA TROJES DE ALONSO, CP 20116",12905,2016-07-14,20,0
27,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","AVE. MAHATMA GANDHI NO. 719, COLONIA FRACC. TORRES DE SAN FRANCISCO, CP 20280",12547,2016-07-13,16,0
28,"PAMHER SERVICIO, S.A. DE C.V.","BLVD. LIC. ADOLFO RUIZ CORTINEZ, COLONIA FRANCISCO VILLA, CP 20218",12602,2016-07-13,20,1
29,"SERVICIO JADSA, S.A. DE C.V.","AV. SIGLO XXI NO. 3006, COLONIA TROJES DE ALONSO, CP 20311",12811,2016-07-13,20,0
30,"MULTISERVICIOS ESPECIALIZADOS MORITA,S.A. DE C.V","CARRETERA AGUASCALIENTES-ZACATECAS KM. 31+072, PABELLON DE ARTEAGA, AGUASCALIENTES., COLONIA , CP ",10438,2016-07-12,18,1
31,"ESTACION DE SERVICIO PABELLON, S.A.DE C.V.","CARRETERA AGUASCALIENTES-ZACATECAS KM- 2+740 PABELLON DE ARTEAGA, AGUASCALIENTES., COLONIA , CP ",11032,2016-07-12,14,0
32,"RED TITANIUM, S.A. DE C.V.","AVENIDA AGUASCALIENTES SUR NO 718, COLONIA MORELOS FRACC 1A SECC., CP 20298",11854,2016-07-12,12,0
33,MARIA GUADALUPE BALLESTEROS RAMIREZ,"AV. SIGLO XXI NO. 1770, COLONIA S. C., CP 20900",10625,2016-07-11,18,1
34,"RED SIGLO XXI, S.A. DE C.V.","AVENIDA SIGLO XXI NO. 100, COLONIA SC, CP 20900",10980,2016-07-11,18,0
35,"ESTACION CUSTODIA, S.A. DE C.V.","AVE. INDEPENDENCIA 1839-D, COLONIA TROJES DE ALONSO, CP 20116",11007,2016-07-11,12,0
36,"MULTISERVICIO LA VILLITA, S.A. DE C.V.","AV. ABERLARDO L. RODRIGUEZ NO 1702, COLONIA FRACCIONAMIENTO LA RIOJA, CP 20180",11718,2016-07-09,16,1
37,"DALROM, S.A. DE C.V.","AV. SAN GABRIEL NO.707, COLONIA OJOCALIENTE 3A SECCION, CP 20196",11772,2016-07-09,18,0
38,"SERVICIOS Y COMERCIALIZADORA NACIONAL,SA DE CV","BOULEVARD A ZACATECAS NO. 605, COLONIA FRACC. LAS HADAS, CP 20140",11324,2016-07-08,18,1
39,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","CARRETERA PANAMERICANA SUR KM 121 MARGEN DERECHO, COLONIA , CP ",11357,2016-07-08,15,0
