,0,1,2,3,4,5,6,7,8
0,Estado,Municipio,Razón social,Número de estación,Fecha de verificación,Mangueras verificadas,Verificadas volumetricamente,Mangueras inmovilizadas,Detalle
1,        Estado, Municipio, Razón social, Número de estación, Fecha de verificación, Mangueras verificadas, Mangueras inmovilizadas, Detalle ,
2,AGUASCALIENTES, AGUASCALIENTES,SERVICIO INDEPENDENCIA S.A. DE C.V., 10036, 2016-09-26, 30,  0, ,
3,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 10143, 2016-09-26, 32,  0, ,
4,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A DE C.V, 12342, 2016-09-26, 24,  0, ,
5,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 7687, 2016-09-24, 24,  0, ,
6,AGUASCALIENTES, AGUASCALIENTES,SERVICIO INDEPENDENCIA S.A. DE C.V., 10993, 2016-09-24, 34,  0, ,
7,AGUASCALIENTES, AGUASCALIENTES,SUPER SERVICIO BONATERRA S.A. DE C.V., 12241, 2016-09-24, 38,  0, ,
8,AGUASCALIENTES, ASIENTOS,UNION PANAMERICANA DE SERVICIOS S.A. DE C.V., 5601, 2016-09-23, 20,  0, ,
9,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 7878, 2016-09-23, 16,  0, ,
10,AGUASCALIENTES, JESUS MARIA,SERVICIO INDEPENDENCIA S.A. DE C.V., 7896, 2016-09-23, 14,  0, ,
11,AGUASCALIENTES, AGUASCALIENTES,SERVICIO LOMAS AGUASCALIENTES S.A. DE C.V., 11162, 2016-09-23, 20,  0, ,
12,AGUASCALIENTES, AGUASCALIENTES,SERVICIO GUTMART S.A. DE C.V., 10097, 2016-09-22, 20,  3, ,
13,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 10645, 2016-09-22, 28,  3, ,
14,AGUASCALIENTES, AGUASCALIENTES,SUPERSERVICIO TERECAR S.A. DE C.V., 10875, 2016-09-22, 18,  2, ,
15,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4940, 2016-09-21, 24,  1, ,
16,AGUASCALIENTES, AGUASCALIENTES,SERVICIO INDEPENDENCIA SA DE CV, 6181, 2016-09-21, 20,  0, ,
17,AGUASCALIENTES, AGUASCALIENTES,SERVICIO CARROBS S.A. DE C.V., 7976, 2016-09-21, El proveedor se negó a ser verificado. , ,,
18,AGUASCALIENTES, AGUASCALIENTES,MARA ESTACION DE SERVICIOS S.A. DE C.V., 8511, 2016-09-21, 16,  1, ,
19,AGUASCALIENTES, AGUASCALIENTES,OPERADORA DE MINIESTACIONES COMBUSERV S.A. DE C.V., 2468, 2016-09-20, 40,  0, ,
20,AGUASCALIENTES, AGUASCALIENTES,PABLO ALEJANDRO PATRON CORDERO, 3045, 2016-09-20, 4,  1, ,
21,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4938, 2016-09-20, 24,  3, ,
22,AGUASCALIENTES, AGUASCALIENTES,TERCER ANILLO S.A. DE C.V., 11508, 2016-07-16, 8,  1, ,
23,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 7745, 2016-07-15, 24,  0, ,
24,AGUASCALIENTES, RINCON DE ROMOS,TORO GRUPO GASOLINERO S.A. DE C.V., 9826, 2016-07-15, 12,  0, ,
25,AGUASCALIENTES, TEPEZALA,MULTISERVICIOS ESPECIALIZADOS MORITAS.A.DE C.V., 10080, 2016-07-15, 16,  0, ,
26,AGUASCALIENTES, AGUASCALIENTES,OPTIMUS ESTACION DE SERVICIO S. A. DE C. V., 10370, 2016-07-15, 12,  0, ,
27,AGUASCALIENTES, AGUASCALIENTES,CORPOGAS HIDROCALIDO S.A. DE C.V., 12905, 2016-07-14, 20,  0, ,
