,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,ID,CAUSA,DEFINICIÓN,INMOV,,,,,,,,,,,,,,,,
1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
3,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
4,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
5,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
6,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
7,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
8,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
9,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
10,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
11,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
12,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,,,,,
13,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
14,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
15,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
16,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
17,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
18,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
19,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
