Estado, Municipio, Razón social, Fecha, BV, BI, VVPV, VVPI, VPV, VPI, AV, AI, Resultado
AGUASCALIENTES, AGUASCALIENTES,"SONIGAS, S.A. DE C.V.", 2016-08-11, 10,  0,  0,  0,  0,  0,  3,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"GAS EXPRESS NIETO, S.A. DE C.V.", 2016-08-11, 9,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
AGUASCALIENTES, EL LLANO,"GAS TITANIUM, S.A. DE C.V.", 2016-08-11, 0,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"DISTRIBUIDORA DE GAS SAN MARCOS, S.A. DE C.V.", 2016-08-10, 0,  0,  0,  0,  0,  0,  0,  0,NEGATIVA DE VERIFICACIÓN
AGUASCALIENTES, AGUASCALIENTES,"PETROQUIMICA BAJIO, S.A. DE C.V.", 2016-08-10, 6,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"DISTRIBUIDORA DE GAS NOEL, S.A. DE C.V.", 2016-08-10, 18,  0,  0,  0,  1,  0,  1,  0,SIN INFRACCIÓN
AGUASCALIENTES, SAN FRANCISCO DE LOS ROMO,"DISTRIBUIDORA DE GAS NOEL, S.A. DE C.V.", 2016-08-10, 0,  0,  1,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"DURAGAS, S.A. DE C.V.", 2016-08-09, 0,  0,  1,  0,  0,  0,  0,  0,NEGATIVA DE VERIFICACIÓN
AGUASCALIENTES, AGUASCALIENTES,"CORPORATIVO VAN E GAS, S.A. DE C.V.", 2016-08-09, 6,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, CALVILLO,"DISTRIBUIDORA DE GAS NOEL, S.A. DE C.V.", 2016-08-09, 5,  0,  0,  0,  2,  0,  3,  0,CON INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"GAS EXPRESS NIETO, S.A. DE C.V.", 2016-04-22, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"SONIGAS, S.A. DE C.V.", 2016-04-22, 0,  0,  0,  0,  0,  0,  2,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"DURAGAS, S.A. DE C.V.", 2016-04-21, 0,  0,  0,  0,  6,  0,  6,  0,CON INFRACCIÓN
AGUASCALIENTES, SAN FRANCISCO DE LOS ROMO,"DISTRIBUIDORA DE GAS NOEL, S.A. DE C.V.", 2016-04-21, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"COMERCIALIZADORA DE GAS DEL BAJIO, S.A. DE C.V.", 2016-04-20, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
AGUASCALIENTES, AGUASCALIENTES,"CENTRAL DE GAS, S.A. DE C.V.", 2016-04-20, 0,  0,  0,  0,  2,  1,  4,  0,CON INFRACCIÓN
AGUASCALIENTES, JESUS MARIA,"DISTRIBUIDORA DE GAS JIMENEZ, S.A. DE C.V.", 2016-04-19, 0,  0,  0,  0,  0,  0,  2,  1,CON INFRACCIÓN
AGUASCALIENTES, PABELLON DE ARTEAGA,"DURAGAS, S.A. DE C.V.", 2016-04-19, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, MEXICALI,"GAS SILZA, S.A. DE C.V.", 2016-10-12, 7,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, MEXICALI,"KINO GAS DEL NOROESTE, S.A. DE C.V.", 2016-10-12, 16,  0,  0,  0,  0,  0,  0,  0,CON INFRACCIÓN
BAJA CALIFORNIA, MEXICALI,"GAS BUTANO PROPANO DE BAJA CALIFORNIA, S.A. DE C.V.", 2016-10-12, 0,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"GENERADORES DE ENERGIA DEL NOROESTE, S.A. DE C.V.", 2016-10-11, 8,  0,  0,  0,  3,  1,  2,  0,CON INFRACCIÓN
BAJA CALIFORNIA, TIJUANA,"GENERADORES DE ENERGIA DEL NOROESTE, S.A. DE C.V.", 2016-10-11, 20,  0,  0,  0,  1,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, TIJUANA,"KINO GAS DE TIJUANA, S.A. DE C.V.", 2016-10-11, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"COMPAÑIA DE GAS DE ENSENADA, S.A. DE C.V.", 2016-10-10, 0,  0,  0,  0,  3,  0,  3,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"GAS SILZA, S.A. DE C.V.", 2016-10-10, 6,  0,  0,  0,  0,  0,  0,  0,CON INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"COMPAÑIA DE GAS DE ENSENADA, S.A. DE C.V.", 2016-10-10, 7,  0,  0,  0,  1,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, MEXICALI,"HIDROCARBUROS DEL NOROESTE, S.A. DE C.V.", 2016-04-12, 0,  0,  0,  0,  0,  0,  0,  0,NEGATIVA
BAJA CALIFORNIA, MEXICALI,"GAS SILZA, S.A. DE C.V.", 2016-04-12, 24,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, TECATE,"COMPAÑIA DE GAS DE TIJUANA, S.A. DE C.V.", 2016-04-11, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, TIJUANA,"KINO GAS DE TIJUANA, S.A. DE C.V.", 2016-04-11, 0,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, TIJUANA,"GAS SILZA, S.A. DE C.V.", 2016-04-09, 41,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, TIJUANA,"COMPAÑIA DE GAS DE TIJUANA, S.A. DE C.V.", 2016-04-09, 2,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"CALAFIA GAS, S.A. DE C.V.", 2016-04-08, 5,  0,  0,  0,  1,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA, ENSENADA,"GAS SILZA, S.A. DE C.V.", 2016-04-08, 7,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LA PAZ,"DIESGAS, S.A. DE C.V.", 2016-08-11, 9,  0,  0,  0,  4,  1,  4,  0,CON INFRACCIÓN
BAJA CALIFORNIA SUR, LA PAZ,"GAS MENGUC, S.A. DE C.V.", 2016-08-11, 13,  0,  0,  0,  0,  0,  0,  0,CON INFRACCIÓN
BAJA CALIFORNIA SUR, LOS CABOS,"GAS MENGUC, S.A. DE C.V.", 2016-08-11, 13,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LOS CABOS,"DIESGAS, S.A. DE C.V.", 2016-08-11, 9,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LOS CABOS,"DIESGAS, S.A. DE C.V.", 2016-08-11, 11,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR  , LA PAZ,"DIESGAS, S.A. DE C.V.", 2016-08-10, 0,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, MULEGE,"DISTRIBUIDORA DE GAS DE LA PAZ, S.A. DE C.V.", 2016-04-07, 5,  0,  0,  0,  1,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LA PAZ,"GAS MENGUC, S.A. DE C.V.", 2016-04-06, 13,  0,  0,  0,  1,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LA PAZ,"DIESGAS, S.A. DE C.V.", 2016-04-06, 13,  0,  0,  0,  0,  0,  1,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LORETO,"DISTRIBUIDORA DE GAS DE LA PAZ, S.A. DE C.V.", 2016-04-06, 5,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
BAJA CALIFORNIA SUR, LOS CABOS,"GAS MENGUC, S.A. DE C.V.", 2016-04-05, 13,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
CAMPECHE, CAMPECHE,"GAS PENINSULAR DE CAMPECHE, S.A. DE C.V.", 2016-03-14, 1,  0,  0,  0,  2,  2,  0,  0,CON INFRACCIÓN
CAMPECHE, TENABO,"GAS DE TENABO, S.A. DE C.V.", 2016-03-14, 7,  0,  0,  0,  0,  0,  0,  0,SIN INFRACCIÓN
CHIAPAS, VILLA CORZO,"GAS COM, S.A. DE C.V.", 2016-10-12, 5,  1,  0,  0,  0,  0,  0,  0,CON INFRACCIÓN
